galfit result file run on 11-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) errpx(pixels) py(pixels) errpy(pixels) mag errmag rad(pixels) errrad(pixels) rad(kpc) errrad(kpc) sersicIndex(n) errsersicIndex(n) b/a errb/a angle(deg) errangle(deg) rff sky
central VELA02 280 2.568 2.57142857143 8 F160W 302.6356 0.0820 302.0152 0.0847 19.1746 0.0027 42.7136 0.0896 42.7136 0.0896 0.6686 0.0015 0.8813 0.0017 -86.4701 0.6345 0.483560954508 0.000e+00
other VELA02 290 2.704 2.44827586207 0 F160W 419.3467 0.0464 283.9141 0.0753 20.4941 0.0054 20.5945 0.1135 20.5945 0.1135 1.2784 0.0082 0.6022 0.0030 4.6544 0.3602 0.494031999921 0.000e+00
central VELA02 290 2.704 2.44827586207 0 F160W 299.7251 0.0620 303.0326 0.0627 19.0222 0.0022 40.5716 0.1025 40.5716 0.1025 0.9116 0.0022 0.9328 0.0014 -9.9233 1.0513 0.354132285765 0.000e+00
central VELA02 290 2.704 2.44827586207 1 F160W 296.4021 0.0915 299.8889 0.0300 19.2221 0.0025 48.6198 0.1004 48.6198 0.1004 0.7332 0.0018 0.3051 0.0007 89.4480 0.0513 0.298783383483 0.000e+00
other VELA02 290 2.704 2.44827586207 1 F160W 276.6331 0.0431 540.2693 0.0310 20.4865 0.0046 15.4195 0.0721 15.4195 0.0721 1.5529 0.0075 0.7339 0.0035 80.7749 0.4796 0.518691249276 0.000e+00
other VELA02 290 2.704 2.44827586207 5 F160W 404.8327 0.0433 435.3741 0.0628 20.4666 0.0053 18.8591 0.0779 18.8591 0.0779 1.5279 0.0079 0.6938 0.0035 -3.5695 0.4726 0.495163374304 0.000e+00
central VELA02 290 2.704 2.44827586207 5 F160W 300.7225 0.0865 302.6476 0.0698 19.0541 0.0024 40.3846 0.0749 40.3846 0.0749 0.8925 0.0020 0.8083 0.0015 -82.2514 0.3668 0.36487527399 0.000e+00
central VELA02 290 2.704 2.44827586207 6 F160W 299.7707 0.0684 298.7558 0.0351 19.1786 0.0025 45.1184 0.0716 45.1184 0.0716 0.7334 0.0022 0.3841 0.0008 -88.7906 0.0670 0.347934650391 0.000e+00
other VELA02 290 2.704 2.44827586207 6 F160W 415.1965 0.0476 533.0634 0.0362 20.5479 0.0047 14.3975 0.0656 14.3975 0.0656 1.2366 0.0057 0.8107 0.0039 63.0524 0.7489 0.501999187689 0.000e+00
other VELA02 290 2.704 2.44827586207 7 F160W 352.4201 0.0461 355.0885 0.0417 20.2243 0.0048 23.4933 0.1178 23.4933 0.1178 1.4016 0.0071 0.8352 0.0039 -55.5642 0.9984 0.48997565894 0.000e+00
central VELA02 290 2.704 2.44827586207 7 F160W 300.8379 0.0605 301.1527 0.0631 19.1126 0.0024 37.3372 0.0955 37.3372 0.0955 1.0119 0.0024 0.8372 0.0016 -89.0831 0.5122 0.319192184399 0.000e+00
central VELA02 290 2.704 2.44827586207 8 F160W 300.8564 0.0712 301.6336 0.0662 19.0799 0.0024 38.5327 0.0955 38.5327 0.0955 1.0147 0.0023 0.8289 0.0014 -84.4162 0.4414 0.325985643428 0.000e+00
other VELA02 290 2.704 2.44827586207 8 F160W 363.2250 0.0431 363.2708 0.0558 20.2723 0.0048 22.8599 0.1149 22.8599 0.1149 1.3772 0.0059 0.7191 0.0037 -38.0535 0.5015 0.525698225694 0.000e+00
central VELA02 300 2.842 2.33333333333 0 F160W 297.9944 0.1351 297.6232 0.1313 18.8805 0.0037 49.8568 0.1508 49.8568 0.1508 0.6021 0.0022 0.8900 0.0023 74.6436 0.8005 0.496429607752 0.000e+00
other VELA02 300 2.842 2.33333333333 1 F160W 508.8078 0.1156 342.5423 0.0991 20.6750 0.0072 22.0833 0.1419 22.0833 0.1419 1.0057 0.0088 0.8919 0.0054 -77.4572 2.0897 0.492621135672 0.000e+00
central VELA02 300 2.842 2.33333333333 1 F160W 305.0492 0.1114 301.5519 0.0426 18.9603 0.0032 44.9109 0.1247 44.9109 0.1247 0.8581 0.0030 0.3669 0.0010 86.2702 0.0852 0.404467431025 0.000e+00
central VELA02 300 2.842 2.33333333333 5 F160W 297.7469 0.1012 300.1202 0.0903 18.8649 0.0035 45.0527 0.1222 45.0527 0.1222 0.7987 0.0027 0.7352 0.0017 76.6578 0.3207 0.407928100673 0.000e+00
central VELA02 300 2.842 2.33333333333 6 F160W 299.2020 0.1005 300.5005 0.0330 18.9084 0.0027 48.7168 0.1100 48.7168 0.11 0.8500 0.0031 0.3222 0.0007 88.4890 0.0576 0.352301298302 0.000e+00
central VELA02 300 2.842 2.33333333333 7 F160W 296.8719 0.0915 301.2440 0.1047 18.8398 0.0027 44.8330 0.1040 44.833 0.104 0.7153 0.0020 0.9171 0.0017 56.0765 1.1084 0.447886555935 0.000e+00
central VELA02 300 2.842 2.33333333333 8 F160W 297.2145 0.0891 300.9653 0.1048 18.8426 0.0033 44.6145 0.1065 44.6145 0.1065 0.7363 0.0025 0.8961 0.0020 64.5170 0.9040 0.43943444293 0.000e+00
central VELA02 310 2.982 2.22580645161 0 F160W 299.8413 0.0819 301.1709 0.0867 19.0947 0.0030 37.0987 0.1077 37.0987 0.1077 0.9302 0.0029 0.9229 0.0019 16.4045 1.0352 0.356051512894 0.000e+00
other VELA02 310 2.982 2.22580645161 1 F160W 503.3962 0.0782 110.7131 0.0663 20.8883 0.0062 17.1788 0.1058 17.1788 0.1058 1.2462 0.0076 0.8383 0.0044 -88.7737 1.0447 0.348511166739 0.000e+00
