galfit result file run on 08-14-2014
type galaxyID timeStep age(GYr) redshift(z) camera filter px(pixels) py(pixels) mag rad(pixels) rad(kpc) sersicIndex(n) b/a angle(deg) sky
disk VELA28 310 2.982 2.22580645161 1 F160W 301.6183 301.3013 20.3520 18.2930 2.187037908 1.0000 0.6887 -66.1140 0.000e+00
other VELA28 310 2.982 2.22580645161 1 F160W 216.6278 80.6172 17.9974 13101.4238 1566.35382383 13.0416 0.6277 -33.6515 0.000e+00
bulge VELA28 310 2.982 2.22580645161 1 F160W 299.0591 299.1757 22.2654 5.1443 0.6150319308 0.9630 0.3729 70.9790 0.000e+00
other VELA28 310 2.982 2.22580645161 5 F160W 442.1474 174.3113 15.6911 823855.8750 98496.9129915 19.9906 0.4919 78.6870 0.000e+00
disk VELA28 310 2.982 2.22580645161 5 F160W 299.9029 300.5620 20.2712 14.7946 1.7687831976 1.0000 0.6444 80.7134 0.000e+00
bulge VELA28 310 2.982 2.22580645161 5 F160W 300.7105 301.0768 22.7290 2.7902 0.3335851512 0.3577 0.3717 67.3314 0.000e+00
other VELA28 310 2.982 2.22580645161 6 F160W 150.1497 402.5615 23.6749 6.8256 0.8160414336 1.1497 0.8236 69.2262 0.000e+00
disk VELA28 310 2.982 2.22580645161 6 F160W 299.5659 302.5752 22.4209 5.8087 0.6944649372 1.0000 0.2846 82.6561 0.000e+00
other VELA28 310 2.982 2.22580645161 6 F160W 530.7393 102.9057 22.2615 26.8547 3.2106405132 0.5990 0.1661 -23.8638 0.000e+00
bulge VELA28 310 2.982 2.22580645161 6 F160W 301.5804 298.6869 19.8133 39.8967 4.7698898652 3.5254 0.4063 76.3895 0.000e+00
disk VELA28 310 2.982 2.22580645161 7 F160W 302.3828 300.6636 22.8096 4.8888 0.5844853728 1.0000 0.4242 55.7094 0.000e+00
