galfit result file
galaxy ID, time step, age (GYr), camera, filter, type, pos error, px, py, sers error, sersic, mag, rad, b/a, angle, [component seperation distance]
VELA02, 350, 3.560, cam5, F160W, disk, , 304.3517, 293.6349, , 0.7846, 18.4011, 48.5617, 0.9324, 63.5349, 8.08874113939
VELA02, 350, 3.560, cam6, F160W, disk, , 306.8113, 299.5895, , 0.7893, 18.6080, 59.0600, 0.5883, 87.5877, 5.81113863713
VELA02, 350, 3.560, cam6, F160W, bulge, , 301.0262, 299.0400, , 1.1145, 18.6891, 15.4655, 0.6257, -69.4638, 5.81113863713
VELA02, 350, 3.560, cam8, F160W, disk, , 301.0112, 296.6266, , 1.0373, 18.1766, 41.8874, 0.7945, 86.4431, 5.41580351287
VELA02, 350, 3.560, cam8, F160W, bulge, , 297.4057, 300.6678, , 0.5104, 19.2647, 11.0283, 0.4236, 86.2166, 5.41580351287
VELA02, 360, 3.709, cam0, F160W, disk, , 301.5316, 299.0603, , 0.8554, 18.1170, 47.2036, 0.9127, -13.2372, 2.3309598302
VELA02, 360, 3.709, cam0, F160W, bulge, , 300.2294, 300.9936, , 0.8920, 19.2311, 10.6482, 0.9673, 86.5565, 2.3309598302
VELA02, 360, 3.709, cam1, F160W, disk, , 303.6555, 302.0284, , 0.9348, 18.0437, 44.4574, 0.5554, -86.3496, 4.3257186062
*VELA02, 360, 3.709, cam1, F160W, bulge, , 300.1544, 299.4879, *, 0.3393, 20.3672, 11.7747, 0.3811, 83.7087, 4.3257186062
VELA02, 360, 3.709, cam5, F160W, disk, , 302.7159, 301.7289, , 0.5722, 18.7874, 59.1181, 0.9124, -89.6028, 3.70391394743
VELA02, 360, 3.709, cam5, F160W, bulge, , 299.6636, 299.6307, , 1.4192, 18.4588, 24.2318, 0.5158, -87.0545, 3.70391394743
VELA02, 360, 3.709, cam6, F160W, disk, , 302.9004, 299.4729, , 0.9507, 18.3328, 48.2777, 0.6501, 78.2754, 4.14636586061
VELA02, 360, 3.709, cam6, F160W, bulge, , 298.8960, 298.3972, , 1.5211, 19.3502, 22.4781, 0.4514, -77.7569, 4.14636586061
VELA02, 360, 3.709, cam7, F160W, bulge, , 300.0628, 299.2610, , 1.4913, 18.5777, 25.4382, 0.4628, 85.1758, 3.00547449831
VELA02, 360, 3.709, cam7, F160W, disk, , 302.4128, 301.1346, , 0.6199, 18.7927, 62.9327, 0.7101, -82.4983, 3.00547449831
VELA02, 360, 3.709, cam8, F160W, bulge, , 300.0452, 299.4087, , 1.5007, 18.5862, 25.0173, 0.4594, 85.7803, 2.49107095443
VELA02, 360, 3.709, cam8, F160W, disk, , 301.9519, 301.0118, , 0.6473, 18.7446, 61.0640, 0.7358, -82.3757, 2.49107095443
